"entry","group"
"1","abc"
"2","ade"
"4","bcfg"
"6","bfgh"
"7","abcfg"
"9","bcfgh"
"10","bcfg"
"11","d"
"12","bfgh"
"13","ade"
"14","h"
"16","ace"
"17","abcfg"
"18","bcfg"
"19","abcfg"
"20","de"
"3","bcfgh"
"5","abcf"
"8","gh"
"15","fgh"
