"contrast","estimate","SE","df","t.ratio","p.value"
"entry16 - entry20",-232.918678426426,74.3716235334202,71,-3.13182188797801,0.19781922348804
"entry16 - entry3",265.143261370929,80.2157159972244,71,3.30537798079497,0.132955972356771
"entry16 - entry5",59.6016640057548,73.0200654895811,71,0.816236791985061,0.999998750814228
"entry16 - entry8",371.663388113439,76.4627107945919,71,4.86071425209954,0.00106886147403684
"entry16 - entry15",363.911587354579,93.1056749130477,71,3.908586535616,0.0257929915001968
"entry17 - entry18",125.129481682797,74.0745948163645,71,1.68923612735244,0.975321457708007
"entry17 - entry19",78.7349636531145,81.0910644575438,71,0.970945000904965,0.999980537469165
"entry17 - entry20",-342.555052793152,73.170493839332,71,-4.68160094074718,0.0020293564889996
"entry17 - entry3",155.506887004202,78.9305035015689,71,1.97017477534666,0.903406726616015
"entry17 - entry5",-50.0347103609717,71.7496991664013,71,-0.697350803449804,0.999999909212351
"entry17 - entry8",262.027013746712,74.80158057409,71,3.50296092322779,0.0809712166248281
"entry17 - entry15",254.275212987852,92.0200119897706,71,2.76325994193653,0.401856383604967
"entry18 - entry19",-46.3945180296821,82.8758325953559,71,-0.559807564844687,0.99999999799244
"entry18 - entry20",-467.684534475949,75.0939932380819,71,-6.22798860879828,5.28911460606629e-06
"entry18 - entry3",30.3774053214054,79.7820064174965,71,0.380755093603958,0.999999999998266
"entry18 - entry5",-175.164192043768,73.6191027276877,71,-2.37933071110211,0.673917260537788
"entry18 - entry8",136.897532063915,77.1091851276477,71,1.77537256861544,0.960265610822834
"entry18 - entry15",129.145731305055,92.4150069203889,71,1.39745411063279,0.996973448634856
"entry19 - entry20",-421.290016446267,81.2884596430073,71,-5.18265468796477,0.000324967727391434
"entry19 - entry3",76.7719233510875,87.6454556674024,71,0.875937294939993,0.999996103902704
"entry19 - entry5",-128.769674014086,80.8114069019848,71,-1.59345912848998,0.986452984270284
"entry19 - entry8",183.292050093598,84.1348857502911,71,2.17854993750869,0.803093500935683
"entry19 - entry15",175.540249334738,98.8885127697308,71,1.77513286850108,0.960315191694758
"entry20 - entry3",498.061939797354,79.934160955642,71,6.2309022055507,5.22664738089595e-06
"entry20 - entry5",292.520342432181,72.7982778941498,71,4.01823162434572,0.018458660707784
"entry20 - entry8",604.582066539864,76.2601931281071,71,7.92788533231546,4.17489109949543e-09
"entry20 - entry15",596.830265781004,91.9708279214458,71,6.48934318924224,1.81009429278678e-06
"entry3 - entry5",-205.541597365174,77.987900676189,71,-2.63555751062714,0.489987072133603
"entry3 - entry8",106.52012674251,81.3011259353813,71,1.31019251599508,0.998648259492297
"entry3 - entry15",98.76832598365,95.7283747202448,71,1.03175601040224,0.999951314525715
"entry5 - entry8",312.061724107684,74.4048063376321,71,4.19410706737974,0.0105824570869327
"entry5 - entry15",304.309923348824,90.8814539612937,71,3.34842710019174,0.119792885582498
"entry8 - entry15",-7.75180075886004,94.0371747093032,71,-0.0824333651327058,1
