"contrast","estimate","SE","df","t.ratio","p.value"
"entry4 - entry17",-103.761833807598,68.498837093027,71,-1.51479701278259,0.99221771346091
"entry4 - entry18",21.3676478756466,70.4624959513417,71,0.30324852373101,1
"entry4 - entry19",-25.0268701996135,77.7427951149063,71,-0.321918837142696,1
"entry4 - entry20",-446.316886586918,69.5837746100151,71,-6.41409422079095,2.46798859415698e-06
"entry4 - entry3",51.7450531806137,75.4277787459151,71,0.686021172052823,0.999999931293262
"entry4 - entry5",-153.796544131844,68.0995340686454,71,-2.25840817026463,0.754754303130707
"entry4 - entry8",158.265179936013,71.6673941263299,71,2.20832893208082,0.785625861468165
"entry4 - entry15",150.513379191445,88.6980125333732,71,1.69691941107263,0.97419054101968
"entry6 - entry7",-155.14361931388,70.4654928561833,71,-2.20169636265115,0.789576468525388
"entry6 - entry9",17.7268119483804,88.0208101055912,71,0.201393419659681,1
"entry6 - entry10",-16.823497934439,67.8279821869406,71,-0.248031820968398,1
"entry6 - entry11",-559.232681348228,65.4046758434482,71,-8.55034711412378,2.25933938224898e-10
"entry6 - entry12",27.3062037592035,70.916554901076,71,0.385046958320154,0.999999999997834
"entry6 - entry13",-351.674246755242,65.005699040138,71,-5.40989870039087,0.000136680758757279
"entry6 - entry14",239.593412519896,65.2897648706263,71,3.66969329717542,0.0515702007471756
"entry6 - entry16",-263.52693442945,69.9968830511135,71,-3.76483813196391,0.039378919912669
"entry6 - entry17",-153.890560024995,68.7220469899881,71,-2.23931862866971,0.76673210758971
"entry6 - entry18",-28.7610783417504,70.6678038183026,71,-0.406989842442244,0.999999999993694
"entry6 - entry19",-75.1555964170105,77.9027569956034,71,-0.964736028806428,0.999982359354026
"entry6 - entry20",-496.445612804315,69.8023658985568,71,-7.11216026009484,1.34661596762342e-07
"entry6 - entry3",1.61632696321666,75.6429510085163,71,0.0213678464637728,1
"entry6 - entry5",-203.925270349241,68.3332336536113,71,-2.98427660226004,0.268881746522039
"entry6 - entry8",108.136453718616,71.9014331120403,71,1.50395408044389,0.992824184981034
"entry6 - entry15",100.384652974048,88.8964121970304,71,1.12923177092406,0.99981908455962
"entry7 - entry9",172.87043126226,92.6913241677555,71,1.86501199345684,0.938367353320775
"entry7 - entry10",138.320121379441,72.9862146785155,71,1.89515406421203,0.929411006199734
"entry7 - entry11",-404.089062034349,70.6437485598691,71,-5.72009654459222,4.07133285921235e-05
"entry7 - entry12",182.449823073083,75.986085079073,71,2.40109518582542,0.658655243871609
"entry7 - entry13",-196.530627441363,70.2683693349023,71,-2.79685766585373,0.37982479268281
"entry7 - entry14",394.737031833776,70.5263132880791,71,5.59701781406597,6.60719039573543e-05
"entry7 - entry16",-108.383315115571,75.1280073405709,71,-1.44264860672061,0.995567459622755
"entry7 - entry17",1.25305928888427,73.861423386875,71,0.016965003264572,1
"entry7 - entry18",126.382540972129,74.9353317134388,71,1.68655476772199,0.975707053872129
"entry7 - entry19",79.988022896869,82.6933908000598,71,0.96728435154229,0.999981631202116
"entry7 - entry20",-341.301993490435,74.8745200966078,71,-4.55831961326852,0.00312372989279008
"entry7 - entry3",156.759946277096,79.632600032434,71,1.96853984691255,0.904031031884234
"entry7 - entry5",-48.7816510353611,73.4500763156072,71,-0.664147043574897,0.99999996052548
"entry7 - entry8",263.280073032496,76.9325465143005,71,3.42221965814633,0.0996896956287162
"entry7 - entry15",255.528272287927,92.2589893706257,71,2.76968427717554,0.397600261940519
"entry9 - entry10",-34.5503098828194,89.7097704196117,71,-0.385134302776749,0.999999999997825
"entry9 - entry11",-576.959493296609,88.1560297843978,71,-6.54475360003929,1.43974994082363e-06
"entry9 - entry12",9.57939181082307,91.7893188558186,71,0.104362816177667,1
"entry9 - entry13",-369.401058703623,87.8585759436819,71,-4.2044963139445,0.0102330041093195
"entry9 - entry14",221.866600571516,88.0721795472416,71,2.51914511156735,0.573898120695791
"entry9 - entry16",-281.253746377831,91.1343285149686,71,-3.08614493529335,0.218222401121521
"entry9 - entry17",-171.617371973376,90.2886373516366,71,-1.90076378387457,0.927651343928739
"entry9 - entry18",-46.4878902901308,92.8909724634998,71,-0.500456492781337,0.999999999727113
