"entry","group"
"entry1","abc"
"entry2","ade"
"entry4","bcfg"
"entry6","bfgh"
"entry7","abcfg"
"entry9","bcfgh"
"entry10","bcfg"
"entry11","d"
"entry12","bfgh"
"entry13","ade"
"entry14","h"
"entry16","ace"
"entry17","abcfg"
"entry18","bcfg"
"entry19","abcfg"
"entry20","de"
"entry3","bcfgh"
"entry5","abcf"
"entry8","gh"
"entry15","fgh"
