"env","site","year","rep","row","col","entry","yield","fitted","resid","resid_norm","resid_kind","flag_outlier"
"MilletVT_2025","MilletVT",2025,"3",9,4,"6",5297.076552,4461.42175462774,835.654797372263,2.72085007933257,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"2",8,4,"7",4639.419873,4621.01668682136,18.4031861786389,-0.433831109286818,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"1",3,4,"8",4382.847458,4352.69142703126,30.1560309687438,-0.742576539836333,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"1",1,4,"10",5266.50735,4945.43784140774,321.069508592257,0.261039055022298,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"3",12,4,"11",4235.125472,4315.16091460424,-80.0354426042422,-0.271509609314787,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"3",11,4,"14",4005.434975,4030.69383491742,-25.2588599174201,-0.273888427262912,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"3",10,4,"15",5107.408065,4808.15866588993,299.249399110069,0.55384080900984,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"4",16,4,"16",4514.0098,4542.53288043346,-28.5230804334587,0.0270952416880974,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"4",14,4,"17",4228.771468,4249.42075574898,-20.6492877489754,-0.734044728564683,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"4",15,4,"19",4800.324363,4999.36683092752,-199.042467927518,-0.781994943565727,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"2",5,4,"20",4382.20331,4302.62572423387,79.577585766132,0.157392213750825,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"1",4,5,"2",4786.359868,4498.69518116195,287.664686838051,0.899201289092334,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"3",12,5,"3",5095.529761,4897.04558755854,198.48417344146,0.293454180015884,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"3",9,5,"4",4669.87509,4890.00656056814,-220.131470568138,-1.08491526731353,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"4",15,5,"5",4926.853081,4640.99368062594,285.85940037406,1.18306479428156,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"1",2,5,"6",4701.422444,4461.42175680908,240.000687190917,0.554690357232742,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"2",8,5,"6",4489.831713,4461.42176501953,28.40994798047,-0.429049198443268,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"4",16,5,"8",4385.042333,4352.6913935184,32.3509394815956,-0.150759166724451,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"1",3,5,"9",3778.167323,4099.15170352129,-320.984380521286,-1.47615300371476,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"4",13,5,"12",4284.380272,4161.88454127091,122.495730729087,0.531283921962731,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"2",7,5,"13",4249.776528,3888.91416092943,360.862367070572,1.09347550317936,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"4",14,5,"15",4645.94618,4808.15863455842,-162.212454558424,-0.733095999546456,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"3",11,5,"16",4557.838381,4542.53291176497,15.3054692350343,-0.191301471822824,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"2",6,5,"17",4381.044903,4249.42079747227,131.624105527726,0.339089759818623,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"2",5,5,"18",5330.341634,5028.92258299163,301.419051008367,0.657846144855805,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"1",1,5,"19",4873.741345,4999.36686444037,-125.625519440369,-0.454126366312047,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"3",10,5,"20",4472.58816,4302.62571384208,169.962446157924,0.664001255048151,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"5",1,6,"1",4685.199454,4895.97891971348,-210.779465713479,-0.658868383766746,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"6",5,6,"2",4566.986344,4498.6951692833,68.2911747166972,0.51030522918371,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"8",13,6,"3",5030.653707,4897.04556959113,133.608137408868,0.444645681818393,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"6",6,6,"4",5297.71805,4890.00655087084,407.711499129164,1.1960780304187,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"7",9,6,"5",4971.768495,4640.99370393422,330.77479106578,1.31030065050039,"normalized (nlme)",FALSE
