"env","stage","engine","fixed","random","residual","method","cov_selected"
"Akron_2025","stage1","nlme::lme","yield ~ entry","~ 1 | rep","correlation = expa (nlme cor*; nugget=TRUE)","REML","expa"
"Burlington_2025","stage1","nlme::lme","yield ~ entry","~ 1 | rep","correlation = gau (nlme cor*; nugget=TRUE)","REML","gau"
"Genoa_2025","stage1","nlme::lme","yield ~ entry","~ 1 | rep","correlation = gau (nlme cor*; nugget=TRUE)","REML","gau"
"Julesburg_2025","stage1","nlme::lme","yield ~ entry","~ 1 | rep","correlation = sph (nlme cor*; nugget=TRUE)","REML","sph"
"Lamar_2025","stage1","nlme::lme","yield ~ entry","~ 1 | rep","correlation = sph (nlme cor*; nugget=TRUE)","REML","sph"
"Orchard_2025","stage1","nlme::lme","yield ~ entry","~ 1 | rep","correlation = sph (nlme cor*; nugget=TRUE)","REML","sph"
"SLake_2025","stage1","nlme::lme","yield ~ entry","~ 1 | rep","correlation = gau (nlme cor*; nugget=TRUE)","REML","gau"
"Walsh_2025","stage1","nlme::lme","yield ~ entry","~ 1 | rep","correlation = gau (nlme cor*; nugget=TRUE)","REML","gau"
"Yuma_2025","stage1","nlme::lme","yield ~ entry","~ 1 | rep","correlation = sph (nlme cor*; nugget=TRUE)","REML","sph"
