"contrast","estimate","SE","df","t.ratio","p.value"
"entry2 - entry18",5.89381699324248,2.3226686481555,328,2.5375195028025,0.880543439578053
"entry2 - entry20",-3.33833439472101,2.2948270006844,328,-1.45472159501583,0.99999725056549
"entry2 - entry21",-0.151637216771302,2.2761281673051,328,-0.0666206846123425,1
"entry2 - entry22",1.53619811621696,2.29169966971414,328,0.670331342504656,1
"entry2 - entry23",2.19703708771387,2.29389193626993,328,0.95777706568272,0.9999999999935
"entry2 - entry24",-0.675621188359032,2.32708754549099,328,-0.290329080944174,1
"entry2 - entry25",2.91604706267572,2.3040494956209,328,1.26561823789723,0.999999947534312
"entry2 - entry26",-7.01695789717112,2.36780213699318,328,-2.96348997559475,0.576147050218042
"entry2 - entry27",0.538037722473343,2.3548935740435,328,0.228476449383442,1
"entry2 - entry28",2.076908337367,2.29165971502865,328,0.906290023665683,1
"entry2 - entry29",3.64446120617721,2.29305101136449,328,1.58935025348981,0.999972884337001
"entry2 - entry30",5.66552651946291,2.28600507609765,328,2.47835255428842,0.907703102765346
"entry2 - entry31",6.36305177420456,2.28896909622605,328,2.77987666355814,0.725477411044621
"entry2 - entry32",-3.91247270460281,2.30334005686257,328,-1.69860837219671,0.999867230319371
"entry2 - entry33",0.32795088328314,2.28884106444752,328,0.143282505883518,1
"entry2 - entry34",0.891262907700811,2.29472476139745,328,0.388396431107514,1
"entry2 - entry35",1.05005255716393,2.32832256532893,328,0.450991015076808,1
"entry2 - entry36",1.82609662159261,2.30468522430668,328,0.79234101140296,1
"entry2 - entry37",-0.389234086864056,2.28038267070704,328,-0.170688056817838,1
"entry2 - entry40",0.885540628992109,2.29893615970299,328,0.385195832974551,1
"entry2 - entry41",7.76506466142435,2.34690376954323,328,3.30864211911665,0.304719147720751
"entry2 - entry42",1.41228955503752,2.28941766571984,328,0.616877198155747,1
"entry2 - entry43",9.74682704430396,2.30174937673912,328,4.23453011122882,0.0180338519671481
"entry2 - entry44",7.17114377376968,2.28417367356074,328,3.13949147421472,0.430207801275766
"entry2 - entry45",0.232615512499858,2.29251993183364,328,0.101467171242347,1
"entry2 - entry46",4.2526765148749,2.29317844073536,328,1.85449001234775,0.999102300838053
"entry3 - entry4",-2.17724047255977,2.30213922879565,328,-0.945746653949675,0.999999999995871
"entry3 - entry5",-3.86734698001987,2.29792467848988,328,-1.68297377900191,0.999892794912877
"entry3 - entry6",8.15111379495795,2.29710804640125,328,3.54842420569979,0.168974190932972
"entry3 - entry8",-4.51580216240156,2.29335448747505,328,-1.96908161693459,0.997092274058823
"entry3 - entry9",1.43246105024561,2.30720486722058,328,0.62086426333317,1
"entry3 - entry10",7.00676875521037,2.28593395281549,328,3.06516675452518,0.490822324960316
"entry3 - entry11",-2.71548946601728,2.28923999415442,328,-1.18619693564296,0.999999992711034
"entry3 - entry12",4.81137694847121,2.29175224495152,328,2.09943154155086,0.990962414739311
"entry3 - entry13",-0.597506505379016,2.30048793713117,328,-0.25973033621908,1
"entry3 - entry14",-5.38326268581427,2.29461311631698,328,-2.34604371758094,0.952743099266665
