"entry","BLUP","SE"
"1",3.58744935350631,1.61291699989401
"2",0.806719325608444,1.61291699989401
"3",0.33106813662595,1.61291699989401
"4",0.0317852070197224,1.61291699989401
"5",2.68245436293014,1.61291699989401
"6",-5.554257782822,1.61291699989401
"8",3.56172302717912,1.61291699989401
"9",-1.86900349280374,1.62086041761841
"10",-5.5425380119396,1.61291699989401
"11",1.75745000743293,1.61291699989401
"12",-3.67766520128934,1.61291699989401
"13",-0.0471088603836322,1.61291699989401
"14",3.01861169360533,1.61291699989401
"15",1.94039277242622,1.61291699989401
"16",1.93716539157656,1.62086035177276
"17",0.395669800514128,1.61291699989401
"18",-2.70038501322842,1.62084812513947
"20",3.33504550742963,1.61291699989401
"21",2.12476477777094,1.61291699989401
"22",1.10543055907406,1.61291699989401
"23",-1.30597931287045,1.62086367980863
"24",0.96122266129843,1.62087382105821
"25",0.110482890865997,1.62892253255406
"26",7.28199567174394,1.63713551847543
"27",1.03707166053288,1.62894414986377
"28",-0.384409583340065,1.61291699989401
"29",-0.488458280929947,1.61291699989401
"30",-2.52741256639413,1.61291699989401
"31",-3.03164856240685,1.61291699989401
"32",3.85737244934815,1.62086035177276
"33",1.56764688875236,1.61291699989401
"34",-0.421855680549531,1.61291699989401
"35",0.941703807662292,1.62084812513947
"36",-1.15591352508508,1.61291699989401
"37",1.91466644609896,1.61291699989401
"40",0.133261271976896,1.61291699989401
"41",-3.91858631036343,1.62892164196917
"42",-0.651836139355902,1.62085220535852
"43",-6.61419949259019,1.62085541054635
"44",-4.45317101601873,1.61291699989401
"45",0.938265587849361,1.62085220535852
"46",-1.01499042642623,1.61291699989401
